ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1430501905.39304,dbt2,24082,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.158473+01,,2015-05-01 18:38:25.37719+01,f,COMMIT,idle,2015-05-01 18:38:25.382326+01
1430501905.39304,dbt2,24085,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.258422+01,2015-05-01 18:38:25.391496+01,2015-05-01 18:38:25.391651+01,f,FETCH ALL IN mycursor,idle in transaction,2015-05-01 18:38:25.394685+01
1430501905.39304,dbt2,24087,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.358631+01,,2015-05-01 18:38:25.37759+01,f,COMMIT,idle,2015-05-01 18:38:25.39133+01
1430501905.39304,dbt2,24089,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.458705+01,2015-05-01 18:38:25.383607+01,2015-05-01 18:38:25.391494+01,f,COMMIT,active,2015-05-01 18:38:25.391494+01
1430501905.39304,dbt2,24091,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.558829+01,,2015-05-01 18:38:25.351856+01,f,COMMIT,idle,2015-05-01 18:38:25.354386+01
1430501905.39304,dbt2,24093,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.65895+01,,2015-05-01 18:38:25.307167+01,f,COMMIT,idle,2015-05-01 18:38:25.308791+01
1430501905.39304,dbt2,24095,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.75907+01,,2015-05-01 18:38:25.358247+01,f,COMMIT,idle,2015-05-01 18:38:25.359378+01
1430501905.39304,dbt2,24097,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.859157+01,,2015-05-01 18:38:25.359431+01,f,COMMIT,idle,2015-05-01 18:38:25.364552+01
1430501905.39304,dbt2,24099,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.959277+01,,2015-05-01 18:38:25.364639+01,f,COMMIT,idle,2015-05-01 18:38:25.36641+01
1430501905.39304,dbt2,24101,10,mark,dbt2-client,,-1,2015-05-01 18:38:25.059372+01,,2015-05-01 18:38:25.37081+01,f,COMMIT,idle,2015-05-01 18:38:25.37247+01
1430501905.39304,dbt2,24103,10,mark,dbt2-client,,-1,2015-05-01 18:38:25.159463+01,,2015-05-01 18:38:25.372071+01,f,COMMIT,idle,2015-05-01 18:38:25.372879+01
1430501905.39304,dbt2,24166,10,mark,dbt2-client,,-1,2015-05-01 18:38:25.259494+01,,2015-05-01 18:38:25.366462+01,f,COMMIT,idle,2015-05-01 18:38:25.36817+01
1430501905.39304,dbt2,24227,10,mark,psql,,-1,2015-05-01 18:38:25.391767+01,2015-05-01 18:38:25.393042+01,2015-05-01 18:38:25.393042+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-01 18:38:25.393047+01
1430501905.39304,dbt2,24213,10,mark,dbt2-client,,-1,2015-05-01 18:38:25.366789+01,,,f,"",idle,2015-05-01 18:38:25.368148+01
1430501905.39304,dbt2,24226,10,mark,psql,,-1,2015-05-01 18:38:25.394081+01,,,f,"",idle,2015-05-01 18:38:25.395408+01
1430501965.40897,dbt2,24082,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.158473+01,,2015-05-01 18:39:25.364682+01,f,COMMIT,idle,2015-05-01 18:39:25.365471+01
1430501965.40897,dbt2,24085,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.258422+01,2015-05-01 18:39:25.3576+01,2015-05-01 18:39:25.362928+01,t,"SELECT payment(4, 7, 2560, 4, 7, '', 4196.300000)",active,2015-05-01 18:39:25.362929+01
1430501965.40897,dbt2,24087,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.358631+01,2015-05-01 18:39:25.371944+01,2015-05-01 18:39:25.372018+01,t,"SELECT payment(4, 2, 2773, 4, 2, '', 3028.000000)",active,2015-05-01 18:39:25.372019+01
1430501965.40897,dbt2,24089,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.458705+01,2015-05-01 18:39:25.344357+01,2015-05-01 18:39:25.344442+01,t,"SELECT payment(4, 7, 0, 4, 7, 'CALLYABLEANTI', 3283.910000)",active,2015-05-01 18:39:25.344443+01
1430501965.40897,dbt2,24091,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.558829+01,,2015-05-01 18:39:25.375131+01,f,COMMIT,idle,2015-05-01 18:39:25.379222+01
1430501965.40897,dbt2,24093,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.65895+01,2015-05-01 18:39:25.399347+01,2015-05-01 18:39:25.403068+01,f,COMMIT,active,2015-05-01 18:39:25.403068+01
1430501965.40897,dbt2,24095,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.75907+01,2015-05-01 18:39:25.38254+01,2015-05-01 18:39:25.39428+01,f,COMMIT,active,2015-05-01 18:39:25.39428+01
1430501965.40897,dbt2,24097,10,mark,dbt2-client,,-1,2015-05-01 18:38:24.859157+01,2015-05-01 18:39:25.33404+01,2015-05-01 18:39:25.334082+01,t,"SELECT payment(3, 5, 1520, 3, 5, '', 60.370000)",active,2015-05-01 18:39:25.334083+01
